Case_ID,Customer_ID,Transaction_ID,Date_Raised,Payment_Method,Dispute_Type,Transaction_Amount,Merchant_Category,Transaction_Status,Customer_Claim,Evidence_Available,Risk_Level,Refund_Eligibility,Case_Status,SLA_Target_Days,Actual_Resolution_Days,SLA_Breached,Assigned_Team,Refund_Amount,Root_Cause,Customer_Sentiment
DSP-0001,CUST-2824,TXN-126225,2026-03-12,Card,Failed Payment,47.54,Food Delivery,Success,My payment of £47.54 failed but the money was debited.,Yes,Medium,Manual Review,Resolved,5,2,No,Payment Operations,0,System Mapping Error,Positive
DSP-0002,CUST-8359,TXN-717889,2026-03-13,Wallet,Failed Payment,177.21,Travel,Success,The transaction failed and I still cannot see my money returned.,Yes,Medium,Manual Review,Resolved,5,3,No,Payment Operations,132.91,Bank Reversal Delay,Positive
DSP-0003,CUST-1711,TXN-865179,2026-04-28,Bank Transfer,Chargeback Request,27.24,Transport,Failed,The service was not provided and I want to raise a chargeback.,No,Medium,Manual Review,Resolved,10,4,No,Payment Operations,20.43,Customer Evidence Missing,Neutral
DSP-0004,CUST-2654,TXN-498591,2026-03-13,Bank Transfer,Unauthorised Transaction,18.86,E-commerce,Success,I do not recognise this transaction and did not authorise it.,No,High,Manual Review,Resolved,10,11,Yes,Fraud Review,0,Manual Follow-up Delay,Negative
DSP-0005,CUST-3677,TXN-584714,2026-04-08,Card,Chargeback Request,57.49,Travel,Pending,"The merchant refused refund, so I need a chargeback review.",No,Medium,Manual Review,Resolved,10,11,Yes,Payment Operations,57.49,Merchant Settlement Delay,Negative
DSP-0006,CUST-4483,TXN-787277,2026-05-08,Card,APP Scam Claim,37.28,Retail,Failed,I was tricked into sending money and need urgent help.,Yes,High,Manual Review,Resolved,10,6,No,Fraud Review,18.64,Manual Follow-up Delay,Negative
DSP-0007,CUST-9348,TXN-617488,2026-01-24,Wallet,APP Scam Claim,22.14,E-commerce,Success,I was tricked into sending money and need urgent help.,Yes,High,Manual Review,Resolved,10,8,No,Fraud Review,0,Customer Evidence Missing,Negative
DSP-0008,CUST-9797,TXN-887352,2026-03-10,Wallet,Refund Delay,28.28,Food Delivery,Pending,My refund of £28.28 is still pending after several days.,No,Medium,Manual Review,Open,7,7,No,Refund Team,0,Merchant Settlement Delay,Neutral
DSP-0009,CUST-9317,TXN-738551,2026-02-20,Card,Unauthorised Transaction,52.43,Subscription,Pending,I do not recognise this transaction and did not authorise it.,Yes,High,Manual Review,In Review,10,17,Yes,Fraud Review,0,Customer Evidence Missing,Negative
DSP-0010,CUST-1949,TXN-352572,2026-05-26,Open Banking,Failed Payment,39.57,Transport,Failed,My payment of £39.57 failed but the money was debited.,Yes,Medium,Eligible,Resolved,5,6,Yes,Payment Operations,39.57,System Mapping Error,Negative
DSP-0011,CUST-5342,TXN-653306,2026-04-19,Open Banking,Chargeback Request,134.32,E-commerce,Success,The service was not provided and I want to raise a chargeback.,No,Medium,Manual Review,Resolved,10,4,No,Payment Operations,67.16,Manual Follow-up Delay,Positive
DSP-0012,CUST-4770,TXN-717024,2026-02-26,Card,Wrong Amount Debited,14.58,Subscription,Success,I authorised a lower amount but a higher amount was taken.,Yes,Medium,Manual Review,Resolved,5,10,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0013,CUST-4981,TXN-922733,2026-05-02,Wallet,Failed Payment,14.4,Bills & Utilities,Success,My payment of £14.40 failed but the money was debited.,No,Medium,Manual Review,Resolved,5,4,No,Payment Operations,10.8,Gateway Timeout,Neutral
DSP-0014,CUST-4139,TXN-299448,2026-05-18,Bank Transfer,Refund Delay,26.3,Food Delivery,Success,The merchant said the refund was processed but I have not received it.,No,Medium,Manual Review,Resolved,7,1,No,Refund Team,0,Manual Follow-up Delay,Neutral
DSP-0015,CUST-4872,TXN-274389,2026-04-15,Bank Transfer,Duplicate Debit,34.7,Bills & Utilities,Success,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,Resolved,5,7,Yes,Refund Team,34.7,Duplicate Processing,Negative
DSP-0016,CUST-3536,TXN-299122,2026-03-17,Card,Failed Payment,58.33,Travel,Success,My payment of £58.33 failed but the money was debited.,No,Medium,Manual Review,Awaiting Evidence,5,3,No,Payment Operations,0,System Mapping Error,Neutral
DSP-0017,CUST-9320,TXN-184002,2026-02-17,Card,Failed Payment,97.99,Subscription,Success,My payment of £97.99 failed but the money was debited.,Yes,Medium,Manual Review,Resolved,5,9,Yes,Payment Operations,73.49,System Mapping Error,Negative
DSP-0018,CUST-6147,TXN-350280,2026-03-09,Card,Wrong Amount Debited,26.4,Transport,Pending,The wrong amount was debited from my account. Please investigate.,Yes,Medium,Manual Review,Resolved,5,8,Yes,Payment Operations,19.8,System Mapping Error,Negative
DSP-0019,CUST-6718,TXN-172132,2026-03-04,Card,Failed Payment,208.84,Subscription,Pending,My payment of £208.84 failed but the money was debited.,No,Medium,Manual Review,Resolved,5,14,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0020,CUST-5333,TXN-221035,2026-01-28,Wallet,Failed Payment,27.03,Travel,Success,My payment of £27.03 failed but the money was debited.,Yes,Medium,Manual Review,Resolved,5,6,Yes,Payment Operations,13.52,Bank Reversal Delay,Negative
DSP-0021,CUST-7939,TXN-969634,2026-03-12,Card,Refund Delay,16.71,E-commerce,Success,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,10,Yes,Refund Team,12.53,Bank Reversal Delay,Negative
DSP-0022,CUST-8041,TXN-233636,2026-01-11,Card,APP Scam Claim,84.47,Retail,Failed,I was tricked into sending money and need urgent help.,Yes,High,Manual Review,In Review,10,9,No,Fraud Review,0,Manual Follow-up Delay,Negative
DSP-0023,CUST-4878,TXN-270395,2026-02-15,Open Banking,Failed Payment,67.8,Bills & Utilities,Pending,The transaction failed and I still cannot see my money returned.,No,Medium,Manual Review,Resolved,5,8,Yes,Payment Operations,0,Gateway Timeout,Negative
DSP-0024,CUST-4644,TXN-309267,2026-04-28,Card,Unauthorised Transaction,81.19,E-commerce,Success,This payment was made without my permission.,Yes,High,Manual Review,In Review,10,16,Yes,Fraud Review,0,Fraud Indicator,Negative
DSP-0025,CUST-9346,TXN-519093,2026-05-18,Card,Failed Payment,85.13,Subscription,Pending,The transaction failed and I still cannot see my money returned.,Yes,Medium,Manual Review,In Review,5,3,No,Payment Operations,0,Gateway Timeout,Neutral
DSP-0026,CUST-4114,TXN-367095,2026-01-12,Wallet,Failed Payment,155.17,E-commerce,Pending,The transaction failed and I still cannot see my money returned.,No,Medium,Manual Review,Resolved,5,7,Yes,Payment Operations,155.17,Gateway Timeout,Negative
