Order ID,Order Date,Outlet ID,Outlet Type,Outlet Size,Outlet Location,Establishment Year,Product ID,Item Type,Item Fat Content,Units,Sales,Rating,Item Visibility
ORD100000,19-02-2024,OUT014,Grocery Store,Large,Tier 3,2018,SKU7938,Snacks,Regular,1,2.82,4,0.037
ORD100001,30-04-2023,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU4627,Personal Care,Low Fat,1,4.63,3.8,0.103
ORD100002,09-07-2022,OUT010,Grocery Store,Small,Tier 1,2019,SKU7585,Dairy,Low Fat,6,11.97,3.2,0.048
ORD100003,23-04-2022,OUT008,Supermarket Type 2,Medium,Tier 1,2023,SKU3931,Dairy,Regular,8,13.62,4.6,0.068
ORD100004,06-07-2022,OUT020,Convenience Store,Medium,Tier 3,2013,SKU6534,Snacks,Regular,4,13.46,3.4,0.087
ORD100005,02-01-2022,OUT019,Supermarket Type 1,Medium,Tier 2,2009,SKU5199,Household,Regular,1,5.98,4.1,0.043
ORD100006,14-08-2024,OUT006,Supermarket Type 2,Small,Tier 1,2020,SKU2693,Snacks,Regular,7,23.77,3.9,0.116
ORD100007,11-10-2022,OUT009,Grocery Store,Medium,Tier 1,2018,SKU1699,Produce,Regular,3,6.48,3.6,0.035
ORD100008,08-05-2022,OUT005,Supermarket Type 1,Medium,Tier 1,2021,SKU6801,Produce,Regular,3,6.27,4.1,0.081
ORD100009,16-11-2023,OUT005,Supermarket Type 1,Medium,Tier 1,2021,SKU7457,Dairy,Low Fat,3,6.78,4.2,0.024
ORD100010,21-09-2022,OUT019,Supermarket Type 1,Medium,Tier 2,2009,SKU1830,Household,Low Fat,1,4.36,4.4,0.133
ORD100011,26-09-2023,OUT019,Supermarket Type 1,Medium,Tier 2,2009,SKU6188,Snacks,Low Fat,1,2.7,4.3,0.098
ORD100012,23-12-2022,OUT006,Supermarket Type 2,Small,Tier 1,2020,SKU7833,Produce,Regular,1,2.07,3.9,0.093
ORD100013,02-12-2024,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU4267,Dairy,Low Fat,2,4.68,4.3,0.074
ORD100014,30-12-2023,OUT011,Grocery Store,Medium,Tier 3,2007,SKU3914,Household,Regular,1,5.01,4.5,0.064
ORD100015,26-06-2022,OUT016,Grocery Store,Medium,Tier 2,2017,SKU2167,Meat,Low Fat,3,27.42,4,0.053
ORD100016,26-09-2023,OUT019,Supermarket Type 1,Medium,Tier 2,2009,SKU2540,Household,Regular,1,5.33,3.3,0.089
ORD100017,29-12-2024,OUT011,Grocery Store,Medium,Tier 3,2007,SKU2214,Meat,Regular,1,7.78,4,0.055
ORD100018,27-02-2022,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU4486,Produce,Regular,10,17.31,4.8,0.091
ORD100019,23-02-2024,OUT011,Grocery Store,Medium,Tier 3,2007,SKU3779,Personal Care,Regular,1,4.13,3.9,0.099
ORD100020,26-03-2023,OUT015,Grocery Store,Small,Tier 2,2012,SKU8266,Beverages,Regular,1,2.63,5,0.09
ORD100021,08-11-2023,OUT019,Supermarket Type 1,Medium,Tier 2,2009,SKU5363,Household,Regular,3,15.43,4.2,0.12
ORD100022,07-07-2024,OUT001,Supermarket Type 2,Large,Tier 2,2011,SKU5261,Dairy,Regular,1,1.92,4.3,0.137
ORD100023,18-05-2022,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU1666,Canned Foods,Low Fat,2,5.17,3.8,0.066
ORD100024,25-10-2024,OUT008,Supermarket Type 2,Medium,Tier 1,2023,SKU2276,Dairy,Regular,8,17.92,4,0.103
ORD100025,31-12-2022,OUT016,Grocery Store,Medium,Tier 2,2017,SKU7229,Dairy,Regular,1,1.77,4.8,0.106
ORD100026,19-04-2022,OUT011,Grocery Store,Medium,Tier 3,2007,SKU1876,Dairy,Low Fat,1,1.81,3.4,0.116
ORD100027,16-12-2022,OUT017,Supermarket Type 1,Large,Tier 1,2011,SKU7316,Produce,Regular,2,3.98,3.7,0.05
ORD100028,13-08-2022,OUT019,Supermarket Type 1,Medium,Tier 2,2009,SKU3060,Meat,Regular,2,21.74,3.7,0.074
ORD100029,24-08-2022,OUT010,Grocery Store,Small,Tier 1,2019,SKU3898,Snacks,Regular,2,6.14,2.9,0.091
ORD100030,30-03-2022,OUT015,Grocery Store,Small,Tier 2,2012,SKU2970,Snacks,Regular,1,3.55,3.6,0.054
ORD100031,23-04-2023,OUT014,Grocery Store,Large,Tier 3,2018,SKU7371,Frozen,Regular,1,6.46,4,0.155
ORD100032,16-02-2022,OUT001,Supermarket Type 2,Large,Tier 2,2011,SKU1814,Bakery,Regular,1,3.9,4.1,0.106
ORD100033,30-09-2024,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU6732,Snacks,Low Fat,8,20.63,5,0.096
ORD100034,26-08-2024,OUT012,Convenience Store,Small,Tier 2,2006,SKU2205,Bakery,Regular,1,2.08,4,0.073
ORD100035,24-10-2023,OUT010,Grocery Store,Small,Tier 1,2019,SKU5524,Snacks,Low Fat,1,3.31,4.2,0.115
ORD100036,06-10-2024,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU1054,Personal Care,Low Fat,1,4.56,4.6,0.102
ORD100037,13-12-2024,OUT010,Grocery Store,Small,Tier 1,2019,SKU7150,Canned Foods,Low Fat,2,4.15,4.3,0.094
ORD100038,03-07-2024,OUT006,Supermarket Type 2,Small,Tier 1,2020,SKU8083,Produce,Low Fat,1,2.05,3.5,0.079
